pop2000,county_id,cz,czname,state_id,stateabbrv
26142,40039,33801,Elk City,40,OK
37077,40041,30300,Fayetteville,5,AR
4743,40043,30502,Enid,40,OK
4075,40045,30501,Woodward,40,OK
57813,40047,30502,Enid,40,OK
27210,40049,33700,Ardmore,40,OK
45516,40051,33802,Chickasha,40,OK
5144,40053,30502,Enid,40,OK
6061,40055,33602,Altus,40,OK
3283,40057,33602,Altus,40,OK
3562,40059,30501,Woodward,40,OK
11792,40061,30100,Fort Smith,5,AR
14154,40063,33901,Ada,40,OK
28439,40065,33602,Altus,40,OK
6818,40067,33601,Lawton,40,OK
10513,40069,33700,Ardmore,40,OK
48080,40071,30402,Tulsa,40,OK
13926,40073,33803,Oklahoma City,40,OK
10227,40075,33602,Altus,40,OK
10692,40077,30100,Fort Smith,5,AR
48109,40079,30100,Fort Smith,5,AR
32080,40081,33803,Oklahoma City,40,OK
33924,40083,33803,Oklahoma City,40,OK
8831,40085,33700,Ardmore,40,OK
27740,40087,33803,Oklahoma City,40,OK
34402,40089,34002,Idabel,40,OK
19456,40091,30200,Muskogee,40,OK
7545,40093,30502,Enid,40,OK
13184,40095,33700,Ardmore,40,OK
38369,40097,30402,Tulsa,40,OK
12623,40099,33700,Ardmore,40,OK
69451,40101,30200,Muskogee,40,OK
11411,40103,30401,Stillwater,40,OK
10569,40105,29403,Bartlesville,20,KS
11814,40107,30403,Okmulgee,40,OK
660448,40109,33803,Oklahoma City,40,OK
39685,40111,30403,Okmulgee,40,OK
44437,40113,30402,Tulsa,40,OK
33194,40115,29901,Joplin,29,MO
16612,40117,30402,Tulsa,40,OK
68190,40119,30401,Stillwater,40,OK
43953,40121,30100,Fort Smith,5,AR
35143,40123,33901,Ada,40,OK
65521,40125,33803,Oklahoma City,40,OK
11667,40127,34002,Idabel,40,OK
3436,40129,33801,Elk City,40,OK
70641,40131,30402,Tulsa,40,OK
24894,40133,33803,Oklahoma City,40,OK
38972,40135,30100,Fort Smith,5,AR
